it_category,claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
"Cloud, data and analytics",Strong fit,REQUEST FOR INFORMATION  FOR A USER TESTING AND RESEARCH PLATFORM FOR EMPLOYMENT AND SOCIAL DEVELOPMENT CANADA,2026-08-25T14:00:00,2026-08-10,Department of Employment and Social Development (ESDC),,"*Software
*Cloud-based software as a service",*SRV,nc-solicitations-gd@esdc-edsc.gc.ca,,"Cloud, data and analytics: cloud, saas; UNSPSC/category *Software
*Cloud-based software as a service"
"Cloud, data and analytics",Strong fit,TBIPS AI Support Services,2026-08-28T14:00:00,2026-08-10,"Department of Foreign Affairs, Trade and Development (GAC)",,*Information technology consultation services,*SRV,justin.hirsch@international.gc.ca,,"Cloud, data and analytics: artificial intelligence, cloud, data science; UNSPSC/category *Information technology consultation services"
Cybersecurity and identity,Possible fit (with caveats),W3330-27-095 - Accommodation and Meal Services in NCR,2026-09-04T14:00:00,2026-08-10,Department of Public Works and Government Services (PSPC),,*Hotels and lodging and meeting facilities,*SRV,martine.hunter@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110021256?anId=ANONYMOUS,Cybersecurity and identity: cyber
Digital records and information management,Strong fit,Document Imaging Services.,2026-09-10T12:00:00,2026-08-10,Department of Transport (TC),,*Scan converters,*SRV,tony.youness@tc.gc.ca,,"Digital records and information management: metadata, records management"
IT infrastructure and operations,Strong fit,CCTV Upgrade – Cowansville Institution,2026-09-14T14:00:00,2026-08-10,Correctional Service of Canada (CSC),,"*Cameras
*Surveillance video or audio recorders",*SRVTGD,stephanie.gigoux@csc-scc.gc.ca,,IT infrastructure and operations: network
IT infrastructure and operations,Unlikely,Patio Tent Structure (W8160-252003C),2026-08-17T14:00:00,2026-08-10,Department of Public Works and Government Services (PSPC),,"*Finishing materials and products
*Tent and membrane structure framing and covering components
*Portable buildings and structures
*Portable commercial and industrial buildings and structures
*Tents and membrane structures
*Prefabricated buildings and structures
*Prefabricated commercial and industrial buildings and structures",*GD,sabrina.cheng@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110021249?anId=ANONYMOUS,IT infrastructure and operations: storage
IT infrastructure and operations,Unlikely,NPP – S5921711 - THS SA – Two (2) Computer Application Support. Temporary Help Services against the Supply Arrangement for the National Capital Region (NCR).​,2026-08-24T15:00:00,2026-08-10,Department of National Defence (DND),,*Temporary personnel services,*SRV,CFSGO-GTemporaryHelp-GSFCO-Gdaidetemporaire@forces.gc.ca,,"IT infrastructure and operations: computer application support, network"
Other IT,Strong fit,RFQ-maintenance and support services for  Hewlett Packard Enterprise (HPE) Hardware  for DND,2026-08-24T14:00:00,2026-08-10,Shared Services Canada,*N7035,,*GD,,,GSIN *N7035
Other IT,Strong fit,Tax Preparation Software,2026-08-25T14:00:00,2026-08-10,Canada Revenue Agency - (Administered Activities) (CRA),,*Software,*GD,hamza.khangui@cra-arc.gc.ca,,UNSPSC/category *Software
Other IT,Unlikely,Cubro Products,2026-08-25T15:00:00,2026-08-10,Shared Services Canada,*N7010,,*GD,,,GSIN *N7010
Other IT,Unlikely,SA&A Microsoft Copilot,2026-08-25T14:00:00,2026-08-10,Office of the Auditor General (OAG),,"*Information technology consultation services
*Information technology IT management services
*Information Technology Service Delivery",*SRV,suppliers@oag-bvg.gc.ca,,"UNSPSC/category *Information technology consultation services
*Information technology IT managem"
