it_category,claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
IT infrastructure and operations,Strong fit,Research services in support of machine technical translation,2026-07-29T14:00:00,2026-07-13,National Research Council of Canada (NRC),,"*Computer services
*Technical writing
*Editorial and support services",*SRV,Karl.payong@nrc-cnrc.gc.ca,,"IT infrastructure and operations: computer services; UNSPSC/category *Computer services
*Technical writing
*Editorial and support services"
IT infrastructure and operations,Possible fit,Cellblock Lithium-ion Battery Storage Benchtop Cabinet or Equivalent,2026-07-29T10:00:00,2026-07-13,Royal Canadian Mounted Police (RCMP),,*Freight containers,*GD,Megan.McCoy@rcmp-grc.gc.ca,,IT infrastructure and operations: storage
IT infrastructure and operations,Unlikely,RFQ 26-124 – Commvault Storage Infrastructure,2026-07-20T13:00:00,2026-07-13,Export Development Canada - EDC,,,"*SRV
*GD",dkhan@edc.ca,https://www.merx.com/public/solicitations/4026451372/abstract?language=EN,IT infrastructure and operations: storage
Other IT,Possible fit,NVIDIA DGX SPARK AI MINI PC GB10 AI workstation or equivalent GB10-based 4TB SSD workstation,2026-07-28T14:00:00,2026-07-13,Shared Services Canada,*N7010,,*GD,,,GSIN *N7010
Other IT,Possible fit,M2989-260487B - FARO ZONE 3D Expert MAINTENANCE RENEWAL SOFTWARE SUBSCRIPTION,2026-07-30T14:00:00,2026-07-13,Department of Public Works and Government Services (PSPC),,*Software,*GD,carmen.skolos2@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110018444?anId=ANONYMOUS,UNSPSC/category *Software
Other IT,Possible fit,SPACE BASED OPTICAL CAPABILITY (SBO) - SURVEILLANCE OF SPACE 2,2026-09-14T13:00:00,2026-07-13,Department of Public Works and Government Services (PSPC),,"*Military satellites
*Low earth orbit satellites
*Spacecraft altitude control systems
*Spacecraft command modules
*Lenses and prisms
*Lens and laser windows
*Optical device accessories
*Camera based vision systems for automated data collection
*Satellite core equipment
*Satellite access equipment
*Satellite antennas
*Satellite image treatment software
*Astronomical camera
*Astronomy
*Satellite launch services
*Space engineering service
*Satellite imaging and image processing service",*SRV,mikaela.renaud@dia-aid.gc.ca,,"UNSPSC/category *Military satellites
*Low earth orbit satellites
*Spacecraft altitude control sy"
Software and application development,Strong fit,NPP-Task-Based Informatics Professional Services (TBIPS) – Stream A.1.6: Programmer/Software Developer (Level 2) for the Department of National Defence,2026-08-23T02:59:00,2026-07-13,Department of National Defence (DND),,*Software or hardware engineering,*SRV,Quinlan.Bodor-MacLean@forces.gc.ca,,"Software and application development: developer, programmer, programming, software development; UNSPSC/category *Software or hardware engineering"
Software and application development,Possible fit,Task-Based Informatics Professional Services (TBIPS) – Stream A.1.6: Programmer/Software Developer (Level 2) for the Department of National Defence,2026-08-15T02:59:00,2026-07-13,Department of National Defence (DND),,*Software or hardware engineering,*SRV,Quinlan.Bodor-MacLean@forces.gc.ca,,"Software and application development: developer, programmer, programming, software development; UNSPSC/category *Software or hardware engineering"
Software licensing,Strong fit,Red Hat OpenShift TAM renewal,2026-07-24T14:00:00,2026-07-13,Shared Services Canada,*N7030,,*GD,,,Software licensing: adp software; GSIN *N7030
Software licensing,Possible fit,Red Hat Maintenance Renewal for RCPM,2026-07-24T14:00:00,2026-07-13,Shared Services Canada,*N7030,,*GD,,,"Software licensing: adp software, software licensing; GSIN *N7030"
